sc_time,sc_routekey,sc_stopkey
6:20 AM,2,2
6:32 AM,2,3
6:34 AM,2,4
6:36 AM,2,5
6:39 AM,2,6
6:45 AM,2,7
6:56 AM,2,1
7:06 AM,2,8
7:09 AM,2,5
7:14 AM,2,10
7:31 AM,2,2
7:43 AM,2,3
7:45 AM,2,4
7:47 AM,2,5
7:50 AM,2,6
7:56 AM,2,7
8:22 AM,2,1
8:32 AM,2,8
8:35 AM,2,5
8:40 AM,2,10
8:57 AM,2,2
9:09 AM,2,3
9:11 AM,2,4
9:13 AM,2,5
9:16 AM,2,6
9:22 AM,2,7
9:33 AM,2,1
9:43 AM,2,8
9:46 AM,2,5
9:51 AM,2,10
10:08 AM,2,2
10:20 AM,2,3
10:22 AM,2,4
10:24 AM,2,5
10:27 AM,2,6
10:33 AM,2,7
10:59 AM,2,1
11:09 AM,2,8
11:12 AM,2,5
11:17 AM,2,10
11:34 AM,2,2
11:46 AM,2,3
11:48 AM,2,4
11:50 AM,2,5
11:53 AM,2,6
11:59 AM,2,7
12:10 PM,2,1
12:20 PM,2,8
12:23 PM,2,5
12:28 PM,2,10
12:45 PM,2,2
12:57 PM,2,3
12:59 PM,2,4
1:01 PM,2,5
1:04 PM,2,6
1:10 PM,2,7
1:36 PM,2,1
1:46 PM,2,8
1:49 PM,2,5
1:54 PM,2,10
2:16 PM,2,2
2:28 PM,2,3
2:30 PM,2,4
2:32 PM,2,5
2:35 PM,2,6
2:41 PM,2,7
2:52 PM,2,1
3:02 PM,2,8
3:05 PM,2,5
3:10 PM,2,10
3:27 PM,2,2
3:39 PM,2,3
3:41 PM,2,4
3:43 PM,2,5
3:46 PM,2,6
3:52 PM,2,7
4:18 PM,2,1
4:28 PM,2,8
4:31 PM,2,5
4:36 PM,2,10
4:53 PM,2,2
5:05 PM,2,3
5:07 PM,2,4
5:09 PM,2,5
5:12 PM,2,6
5:18 PM,2,7
5:29 PM,2,1
5:39 PM,2,8
5:42 PM,2,5
